X,Y,id,thema,type,straat,huisnummer,postcode,district,naam , campusnaam,
4.410522462040283,51.220703131532886,OND748,onderwijs,hoger onderwijs,Sint-Jacobsmarkt,41518,2000,Antwerpen,Antwerp Management School,,
4.412109375075053,51.219482430869839,OND749,onderwijs,hoger onderwijs,Lange Nieuwstraat,101,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen, Campus Lange Nieuwstraat,
4.399475092527211,51.211914064098373,OND753,onderwijs,hoger onderwijs,Kronenburgstraat,47,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen, Campus Kronenburg,
4.406127926724277,51.223327645127078,OND754,onderwijs,hoger onderwijs,Mutsaardstraat,31,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen KASK , Campus Mutsaard,
4.399719227156912,51.217285157681744,OND755,onderwijs,hoger onderwijs,Nationalestraat,28,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen KASK , Mode,
4.40667723851334,51.221923832384114,OND756,onderwijs,hoger onderwijs,Keizerstraat,14,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen KASK , Grafische vormgeving,
4.410522458377471,51.216125494050182,OND758,onderwijs,hoger onderwijs,Meistraat,5,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen, Campus Meistraat,
4.399475092527211,51.211914064098373,OND760,onderwijs,hoger onderwijs,Kronenburgstraat,47,2000,Antwerpen,Artesis Plantijn Hogeschool Antwerpen, Campus Kronenburg,
4.397094720491671,51.241882333031029,OND762,onderwijs,hoger onderwijs,Noordkasteel Oost,6,2030,Antwerpen,Hogere Zeevaartschool,,
4.397521962930155,51.212524422148519,OND763,onderwijs,hoger onderwijs,Nationalestraat,155,2000,Antwerpen,Instituut voor Tropische Geneeskunde , Campus Nationalestraat,
4.399902334938205,51.212524416136269,OND764,onderwijs,hoger onderwijs,Sint-Rochusstraat,43,2000,Antwerpen,Instituut voor Tropische Geneeskunde , Campus Rochus,
