"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48506,1,""1"",""Hasselt - Genk"",""Hasselt - Genk/Genk - Hasselt"",3,"""",""BB0022"",""FFFFFF"""
"48507,1,""3"",""Hasselt - Wellen - Borgloon - Heers"",""Hasselt - Heers/Heers - Hasselt"",3,"""",""DD0077"",""FFFFFF"""
"48508,1,""4"",""Hasselt - Kortessem - Tongeren"",""Hasselt - Tongeren/Tongeren - Hasselt"",3,"""",""77CCAA"",""000000"""
"48509,1,""5"",""Hasselt - Nieuwerkerken - Sint-Truiden"",""Hasselt - Sint-Truiden/Sint-Truiden - Hasselt"",3,"""",""BBDD00"",""000000"""
"48510,1,""7"",""Diest - Paal - Beringen"",""Diest - Beringen/Beringen - Diest"",3,"""",""FFCC11"",""000000"""
"48511,1,""8"",""Genk - Overpelt"",""Genk - Overpelt/Overpelt - Genk"",3,"""",""1199DD"",""FFFFFF"""
"48512,1,""9"",""Genk - As - Lanklaar - Dilsen - Maasmechelen"",""Genk-Lanklaar/Lanklaar-Genk"",3,"""",""771133"",""FFFFFF"""
"48513,1,""10"",""Genk - Tongeren"",""Genk - Tongeren/Tongeren - Genk"",3,"""",""BB0022"",""FFFFFF"""
"48514,1,""11"",""Genk - As - Neeroeteren - Maaseik"",""Genk - Maaseik/Maaseik - Genk"",3,"""",""C5AA77"",""000000"""
"48515,1,""13"",""Hasselt - Meeuwen - Grote Brogel - Bocholt"",""Hasselt - Bocholt/Bocholt - Hasselt"",3,"""",""444411"",""FFFFFF"""
"48516,1,""14"",""Leopoldsburg - Bree - Maaseik"",""Maaseik - Leopoldsburg/Leopoldsburg - Maaseik"",3,"""",""BB0022"",""FFFFFF"""
"48517,1,""15"",""Maaseik - Kinrooi - Molenbeersel"",""Maaseik - Molenbeersel/Molenbeersel - Maaseik"",3,"""",""8899AA"",""000000"""
"48518,1,""16"",""Maaseik - Kinrooi - Meeuwen-Gruitrode - Hasselt"",""Hasselt - Maaseik/Maaseik - Hasselt"",3,"""",""FF88AA"",""000000"""
"48519,1,""18"",""Bilzen - Riemst - Kanne"",""Bilzen - Kanne/Kanne - Bilzen"",3,"""",""005555"",""FFFFFF"""
"48520,1,""19"",""Diest - Geel / Tessenderlo"",""Diest /Tessenderlo - Geel/Geel/Tessenderlo - Diest"",3,"""",""0099AA"",""000000"""
"48521,1,""20"",""Tessenderlo - Meerhout - Geel/Mol"",""Tessenderlo - Geel/Mol/Geel/Mol - Tessenderlo"",3,"""",""BB0022"",""FFFFFF"""
"48522,1,""21"",""Jeuk - Montenaken"",""Jeuk - Montenaken/Montenaken - Jeuk"",3,"""",""EE8822"",""FFFFFF"""
"48523,1,""22"",""Hasselt - Beringen"",""Hasselt - Beringen Mijnen/Beringen Mijnen - Hasselt"",3,"""",""0044BB"",""FFFFFF"""
"48524,1,""23"",""Hasselt - Lillo - Beringen"",""Hasselt - Lillo - Beringen/Beringen - Lillo - Hasselt"",3,"""",""EE8822"",""FFFFFF"""
"48525,1,""25"",""Lanaken - Boorsem - Maasmechelen"",""Lanaken - Eisden/Eisden - Lanaken"",3,"""",""1199DD"",""FFFFFF"""
"48526,1,""26"",""Sint-Truiden - Engelmanshoven - Heers - Oreye"",""Sint-Truiden Station - Heers/Oreye/Heers/Oreye - Sint-Truiden Station"",3,"""",""BB0022"",""FFFFFF"""
"48527,1,""27"",""Tongeren - Heers"",""Tongeren - Heers/Heers - Tongeren"",3,"""",""0044BB"",""FFFFFF"""
"48528,1,""28"",""Bilzen - Spouwen - Tongeren"",""Bilzen - Tongeren/Tongeren - Bilzen"",3,"""",""995511"",""FFFFFF"""
"48529,1,""30"",""Sint-Truiden - Herk-de-Stad - Lummen - Beringen"",""Sint-Truiden - Herk-de-Stad/Beringen/Beringen/Herk-de-Stad - Sint-Truiden"",3,"""",""77CCAA"",""000000"""
"48530,1,""31"",""Genk - Zwartberg - Houthalen"",""Genk - Houthalen/Houthalen - Genk"",3,"""",""8899AA"",""000000"""
"48531,1,""32"",""Beringen - Paal - Tessenderlo"",""Beringen - Tessenderlo/Tessenderlo - Beringen"",3,"""",""444411"",""FFFFFF"""
"48532,1,""33"",""Genk - Meeuwen - Peer - Neerpelt"",""Genk - Neerpelt/Neerpelt - Genk"",3,"""",""0044BB"",""FFFFFF"""
"48533,1,""34"",""Zolder - Heusden - Helchteren - Houthalen"",""Zolder - Houthalen/Houthalen - Zolder"",3,"""",""991199"",""FFFFFF"""
"48534,1,""35"",""Hasselt - Zonhoven - Boxbergheide - Genk"",""Hasselt - Genk/Genk - Hasselt"",3,"""",""FF88AA"",""000000"""
"48535,1,""36"",""Genk - Diepenbeek - Universiteit - Hasselt"",""Genk - Hasselt/Hasselt - Genk"",3,"""",""995511"",""FFFFFF"""
"48536,1,""37"",""Heers - Waremme"",""Heers - Waremme/Waremme - Heers"",3,"""",""EE8822"",""FFFFFF"""
"48538,1,""38"",""Hasselt - Kortessem - Borgloon - Heers"",""Hasselt - Heers/Heers - Hasselt"",3,"""",""1199DD"",""FFFFFF"""
"48539,1,""39"",""Tongeren - Val-Meer - Kanne - Vroenhoven"",""Tongeren - Vroenhoven/Vroenhoven - Tongeren"",3,"""",""EE8822"",""FFFFFF"""
"48540,1,""40"",""Genk - Gruitrode - Kinrooi"",""Genk - Kinrooi/Kinrooi - Genk"",3,"""",""BBDD00"",""000000"""
"48541,1,""41"",""Sint-Truiden - Jeuk"",""Sint-Truiden - Jeuk/Jeuk - Sint-Truiden"",3,"""",""0099AA"",""000000"""
"48542,1,""42"",""Landen - Montenaken - Sint-Truiden"",""Sint-Truiden - Landen/Landen - Sint-Truiden"",3,"""",""AACCEE"",""000000"""
"48543,1,""44"",""Genk - Opglabbeek (Nieuwe Kempen)"",""Genk - Opglabbeek/Opglabbeek - Genk"",3,"""",""771133"",""FFFFFF"""
